main.py:19: FutureWarning: Passing a negative integer is deprecated in version 1.0 and will not be supported in future version. Instead, use None to not limit the column width.
  pd.set_option('max_colwidth', -1)
2022-07-12 11:36:34,256 - main.py[line:581] - INFO: load query config config/query/flights.json successfully
2022-07-12 11:36:34,256 - main.py[line:588] - INFO: load train config ./config/train/flights_a_torch_cvae.json successfully
2022-07-12 11:36:34,257 - main.py[line:588] - INFO: load train config ./config/train/flights_b_torch_cvae.json successfully
2022-07-12 11:36:34,257 - dataset_utils.py[line:567] - INFO: load existing dataset(light):flights-flight-a_a_unique_carrier_a_taxi_out#a_air_time#a_distance_a_unique_carrier_binary_gaussian5_0
2022-07-12 11:36:34,392 - dataset_utils.py[line:576] - INFO: load dataset(light) time elapsed:0.13502318784594536
2022-07-12 11:36:34,392 - pytorch_cvae.py[line:276] - INFO: feature info:[('a_taxi_out', 'numerical', 6), ('a_air_time', 'numerical', 6), ('a_distance', 'numerical', 6), ('a_unique_carrier', 'categorical', 6)]
2022-07-12 11:36:34,393 - model_utils.py[line:75] - INFO: load model name:torch_cvae_flights-flight-a_a_unique_carrier_ld100_id150_bs512_ep150_0_binary_gaussian5
2022-07-12 11:36:36,571 - model_utils.py[line:86] - INFO: load torch model time elapsed:2.1777881905436516
2022-07-12 11:36:36,571 - pytorch_cvae.py[line:286] - INFO: load model time elapsed:2.3144803009927273
2022-07-12 11:36:36,571 - dataset_utils.py[line:567] - INFO: load existing dataset(light):flights-flight-b_b_unique_carrier__b_unique_carrier_binary_gaussian5_0
2022-07-12 11:36:36,600 - dataset_utils.py[line:576] - INFO: load dataset(light) time elapsed:0.0290408656001091
2022-07-12 11:36:36,600 - pytorch_cvae.py[line:276] - INFO: feature info:[('b_unique_carrier', 'categorical', 6)]
2022-07-12 11:36:36,601 - model_utils.py[line:75] - INFO: load model name:torch_cvae_flights-flight-b_b_unique_carrier_ld50_id100_bs512_ep100_0_binary_gaussian5
2022-07-12 11:36:36,602 - model_utils.py[line:86] - INFO: load torch model time elapsed:0.0014161765575408936
2022-07-12 11:36:36,602 - pytorch_cvae.py[line:286] - INFO: load model time elapsed:0.031226757913827896
2022-07-12 11:36:36,602 - main.py[line:525] - INFO: multi_sampling No.0 epoch
2022-07-12 11:36:36,607 - main.py[line:525] - INFO: multi_sampling No.1 epoch
2022-07-12 11:36:36,608 - main.py[line:525] - INFO: multi_sampling No.2 epoch
2022-07-12 11:36:37,360 - pytorch_cvae.py[line:399] - INFO: sampling time:0.7516856305301189
2022-07-12 11:36:37,708 - pytorch_cvae.py[line:399] - INFO: sampling time:1.0993849486112595
2022-07-12 11:36:37,879 - pytorch_cvae.py[line:419] - INFO: house sampling rate:0.05
2022-07-12 11:36:38,174 - pytorch_cvae.py[line:399] - INFO: sampling time:1.5705671273171902
2022-07-12 11:36:38,410 - pytorch_cvae.py[line:419] - INFO: house sampling rate:0.05
2022-07-12 11:36:38,578 - pytorch_cvae.py[line:419] - INFO: house sampling rate:0.05
2022-07-12 11:36:38,644 - pytorch_cvae.py[line:399] - INFO: sampling time:0.7637082487344742
2022-07-12 11:36:38,736 - pytorch_cvae.py[line:399] - INFO: sampling time:0.3252727650105953
2022-07-12 11:36:38,815 - pytorch_cvae.py[line:399] - INFO: sampling time:0.23659507930278778
2022-07-12 11:36:48,956 - main.py[line:509] - INFO: sample and aggregation time elapsed:12.348201841115952
2022-07-12 11:36:49,242 - main.py[line:509] - INFO: sample and aggregation time elapsed:12.639515791088343
2022-07-12 11:36:49,728 - main.py[line:509] - INFO: sample and aggregation time elapsed:13.119557585567236
2022-07-12 11:36:49,733 - main.py[line:542] - INFO: sample time: 13.130797948688269
2022-07-12 11:36:49,755 - main.py[line:99] - INFO: aqp result:
                  avg(a_taxi_out)  avg(a_air_time)  avg(a_distance)  \
DL               0.00             0.02             0.02              
EV               0.00             0.02             0.03              
F9               0.00             0.01             0.01              
FL               0.00             0.01             0.03              
HA               0.00             0.01             0.03              
HP               0.00             0.02             0.01              
MQ               0.00             0.01             0.03              
NK               0.00             0.01             0.05              
NW               0.00             0.01             0.02              
OH (1)           0.00             0.02             0.01              
OO               0.00             0.00             0.02              
TW               0.00             0.04             0.01              
TZ               0.00             0.00             0.04              
UA               0.00             0.00             0.04              
US               0.00             0.01             0.03              
VX               0.00             0.01             0.00              
WN               0.00             0.04             0.02              
XE               0.00             0.04             0.01              
YV               0.00             0.06             0.03              
2022-07-12 11:36:49,770 - main.py[line:554] - INFO: relative error average: 0.014071043480974313
2022-07-12 11:36:49,770 - main.py[line:555] - INFO: relative error normalized average: 0.013867647073053053
2022-07-12 11:36:49,771 - main.py[line:601] - INFO: total_time:15.514257840812206
categorical_columns: ['a_unique_carrier_0', 'a_unique_carrier_1', 'a_unique_carrier_2', 'a_unique_carrier_3', 'a_unique_carrier_4', 'a_unique_carrier_5']
categorical_columns: ['a_unique_carrier_0', 'a_unique_carrier_1', 'a_unique_carrier_2', 'a_unique_carrier_3', 'a_unique_carrier_4', 'a_unique_carrier_5']
categorical_columns: ['a_unique_carrier_0', 'a_unique_carrier_1', 'a_unique_carrier_2', 'a_unique_carrier_3', 'a_unique_carrier_4', 'a_unique_carrier_5']
categorical_columns: ['b_unique_carrier_0', 'b_unique_carrier_1', 'b_unique_carrier_2', 'b_unique_carrier_3', 'b_unique_carrier_4', 'b_unique_carrier_5']
categorical_columns: ['b_unique_carrier_0', 'b_unique_carrier_1', 'b_unique_carrier_2', 'b_unique_carrier_3', 'b_unique_carrier_4', 'b_unique_carrier_5']
categorical_columns: ['b_unique_carrier_0', 'b_unique_carrier_1', 'b_unique_carrier_2', 'b_unique_carrier_3', 'b_unique_carrier_4', 'b_unique_carrier_5']
